DÍA;Ubic;Horario;Latitude;Longitude
JUEVES;BANQUETA ORIENTE DE LA AV ALTA TENSION Y BANQUETA NORTE DE LA AV CENTENARIO;8:00 A 17:00 HORAS;19,365399918;-99,205249624
MARTES;PANORAMICA PICACHO AJUSCO Y ENTRADA A LA PRIMAVERA;08:00 A 19:00 HORAS;19,267992964;-99,205001923
VIERNES;YUCATAN ENTRE ADOLFO LOPEZ MATEOS, MONTERREY Y JALISCO;8:00 A 17:00 HORAS;19,336356314;-99,204800122
SÁBADO;CALLE 6 ENTRE CALLE 18 Y 8;8:00 A 17:00 HORAS;19,375032822;-99,204808120
MARTES;LEONA VICARIO /XICOTENCATL Y JOSÉ MA. MORELOS Y PAVON;08:00 A 19:00 HORAS;19,217169593;-99,204357652
MARTES;JOSÉ MA. MORELOS Y PAVON Y LEONA VICARIO;08:00 A 19:00 HORAS;19,217704007;-99,204329486
SÁBADO;LINARES, ENTRE COBRE Y POSTES;8:00 A 17:00 HORAS;19,392490183;-99,204525356
MARTES;MARIANO MATAMOROS / JSÉ MA. MORELOS Y LEONA VICARIO;08:00 A 19:00 HORAS;19,217936313;-99,204290292
DOMINGO;MARIANO MATAMOROS / EMILIANO ZAPATA E IGNACIO ALLENDE;08:00 A 19:00 HORAS;19,221394484;-99,204208846
MIÉRCOLES;SAN JUAN TLIHUACA, ENTRE HERNANDEZ COVARRUBIAS Y 1A  CDA;8:00 A 19:00 HORAS;19,493610146;-99,204489345
LUNES;AV. PADRE HIDALGO ENTRE CALLE 6 Y CALLE 8;8:00 A 17:00 HORAS;19,376229760;-99,204289115
JUEVES;AV. CENTENARIO GUADALUPE HIDALGO Y CTO. 3;8:00 A 17:00 HORAS;19,365569049;-99,204236946
LUNES;AV. CENTENARIO, XOCHIMILCO CTO. 3;8:00 A 17:00 HORAS;19,365237326;-99,204125615
MARTES;RAMÓN CORONA /FRANCISCO PEÑUÑURI, BARTOLOME DE LAS CASAS Y LEONA VICARIO;08:00 A 19:00 HORAS;19,217686390;-99,203756366
MIÉRCOLES;ANDADOR PRINCIPAL SANTO DOMINGO Y LINARES;8:00 A 17:00 HORAS;19,391014999;-99,203714610
LUNES;M.CERVANTES SAAVEDRA ENTRE LAGO ZURICH Y FFCC. CUERNAVACA;07:00 A 17:00 HORAS;19,440209848;-99,203650174
LUNES;PLAZA PALOMARES, ENTRE HERREROS, PESCADORES Y MERCADERES;8:00 A 19:00 HORAS;19,511668676;-99,203558590
MIÉRCOLES;PLAZA PALOMARES, ENTRE HERREROS, PESCADORES Y MERCADERES;8:00 A 19:00 HORAS;19,511668676;-99,203558590
